line_norm,label
jul    calvisitor---- blued[]: [bluetoothhiddevicecontroller]error: could not find the disconnected object,BluetoothError
jul    calvisitor---- wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    calvisitor---- preview[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    authormacbook-pro qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    calvisitor---- qq[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    airbears2---- wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    calvisitor---- neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro com.apple.webkit.webcontent[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    calvisitor---- qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    authormacbook-pro blued[]: [bluetoothhiddevicecontroller]error: could not find the disconnected object,BluetoothError
jul    airbears2---- neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    airbears2---- qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.xy.jx.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: disconnecting: too many authentication failures for root [preauth],SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for . [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: disconnecting: too many authentication failures for root [preauth],SSHAuthFail
"dec   labsz sshd[]: address ... maps to mail.junlike.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ---.user.vivozap.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=ftp,SSHAuthFail
"dec   labsz sshd[]: address ... maps to ----dedicated.multacom.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: disconnecting: too many authentication failures for admin [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.fs.gd.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for .subnet118--.static.astinet.telkom.net.id [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=aiq139.rev.netart.pl,SSHAuthFail
